Index,Dataset,Isoclass,Cell 1,Cell 2,Cell 3,Class 1,Class 2,Class 3,Spatial Domain 1,Spatial Domain 2,Spatial Domain 3,Brainmap Layer 1,Brainmap Layer 2,Brainmap Layer 3,Anatomical Class 1,Anatomical Class 2,Anatomical Class 3
782,Synapse 4,2,URXL,BAGR,RIAL,URX,BAG,RIA,Unclassified,Taxis,Anterior,1,1,3,SN4,SN4,IN2
783,Synapse 4,2,URXL,AIYL,RIAL,URX,AIY,RIA,Unclassified,Taxis,Anterior,1,2,3,SN4,IN3,IN2
784,Synapse 4,2,URXL,RIBL,RIAL,URX,RIB,RIA,Unclassified,Taxis,Anterior,1,3,3,SN4,IN2,IN2
785,Synapse 4,2,URXL,RIH,RIAL,URX,RIH,RIA,Unclassified,Anterior,Anterior,1,3,3,SN4,IN4,IN2
786,Synapse 4,2,RIH,AUAL,RIAL,RIH,AUA,RIA,Anterior,Taxis,Anterior,3,3,3,IN4,IN3,IN2
787,Synapse 4,2,RIH,RIR,RIAL,RIH,RIR,RIA,Anterior,Unclassified,Anterior,3,3,3,IN4,IN4,IN2
788,Synapse 4,2,RIH,AIYL,RIAL,RIH,AIY,RIA,Anterior,Taxis,Anterior,3,2,3,IN4,IN3,IN2
789,Synapse 4,2,RIR,RIBL,RIAL,RIR,RIB,RIA,Unclassified,Taxis,Anterior,3,3,3,IN4,IN2,IN2
790,Synapse 4,2,AIYL,AUAL,RIAL,AIY,AUA,RIA,Taxis,Taxis,Anterior,2,3,3,IN3,IN3,IN2
791,Synapse 4,2,RIR,AIYL,RIAL,RIR,AIY,RIA,Unclassified,Taxis,Anterior,3,2,3,IN4,IN3,IN2
792,Synapse 4,2,RIR,AUAL,RIAL,RIR,AUA,RIA,Unclassified,Taxis,Anterior,3,3,3,IN4,IN3,IN2
793,Synapse 4,2,AINR,DVA,AUAL,AIN,DVA,AUA,Taxis,Sublateral,Taxis,2,3,3,IN1,IN1,IN3
794,Synapse 4,2,URXL,DVA,AUAL,URX,DVA,AUA,Unclassified,Sublateral,Taxis,1,3,3,SN4,IN1,IN3
795,Synapse 4,2,URXL,AINR,AUAL,URX,AIN,AUA,Unclassified,Taxis,Taxis,1,2,3,SN4,IN1,IN3
796,Synapse 4,2,ALNR,SMBDL,RICL,ALN,SMBD,RIC,Unclassified,Sublateral,Sublateral,2,3,3,IN1,SMN,IN2
797,Synapse 4,2,AWBL,AWCL,AIYL,AWB,AWC,AIY,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
798,Synapse 4,2,AWBL,ASEL,AIYL,AWB,ASE,AIY,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
799,Synapse 4,2,ADLL,ASKL,AIAL,ADL,ASK,AIA,Taxis,Taxis,Taxis,1,1,2,SN5,SN6,IN3
800,Synapse 4,2,ADLL,AWCR,AIAL,ADL,AWC,AIA,Taxis,Taxis,Taxis,1,1,2,SN5,SN6,IN3
801,Synapse 4,2,ADLL,AIML,AIAL,ADL,AIM,AIA,Taxis,Taxis,Taxis,1,2,2,SN5,IN4,IN3
802,Synapse 4,2,ADLL,ASIL,AIAL,ADL,ASI,AIA,Taxis,Taxis,Taxis,1,1,2,SN5,SN6,IN3
803,Synapse 4,2,ADLL,PVQL,AIAL,ADL,PVQ,AIA,Taxis,Taxis,Taxis,1,2,2,SN5,IN3,IN3
804,Synapse 4,2,ADLL,ASGL,AIAL,ADL,ASG,AIA,Taxis,Taxis,Taxis,1,1,2,SN5,SN6,IN3
805,Synapse 4,2,ADLL,ASKL,AIBL,ADL,ASK,AIB,Taxis,Taxis,Taxis,1,1,3,SN5,SN6,IN2
806,Synapse 4,2,ADLL,AWCR,AIBL,ADL,AWC,AIB,Taxis,Taxis,Taxis,1,1,3,SN5,SN6,IN2
807,Synapse 4,2,ADLL,ASIL,AIBL,ADL,ASI,AIB,Taxis,Taxis,Taxis,1,1,3,SN5,SN6,IN2
808,Synapse 4,2,ADLL,ASGL,AIBL,ADL,ASG,AIB,Taxis,Taxis,Taxis,1,1,3,SN5,SN6,IN2
809,Synapse 4,2,ADLL,ADAR,AIBL,ADL,ADA,AIB,Taxis,Avoidance,Taxis,1,3,3,SN5,IN3,IN2
810,Synapse 4,2,ADLL,DVC,AIBL,ADL,DVC,AIB,Taxis,Lateral,Taxis,1,3,3,SN5,IN2,IN2
811,Synapse 4,2,ADLL,AIZR,AIBL,ADL,AIZ,AIB,Taxis,Taxis,Taxis,1,3,3,SN5,IN3,IN2
812,Synapse 4,2,ADLL,AWCL,ASIR,ADL,AWC,ASI,Taxis,Taxis,Taxis,1,1,1,SN5,SN6,SN6
813,Synapse 4,2,ADLL,PVCL,AVDR,ADL,PVC,AVD,Taxis,Avoidance,Avoidance,1,3,3,SN5,IN1,IN2
814,Synapse 4,2,AWCL,ASEL,AIYL,AWC,ASE,AIY,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
815,Synapse 4,2,AWAL,AWCL,AIYL,AWA,AWC,AIY,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
816,Synapse 4,2,AWCL,ASEL,AIBL,AWC,ASE,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
817,Synapse 4,2,AWCL,ASKL,AIBL,AWC,ASK,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
818,Synapse 4,2,AWCL,ASGL,AIBL,AWC,ASG,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
819,Synapse 4,2,ADAR,AWCL,AIBL,ADA,AWC,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
820,Synapse 4,2,DVC,AWCL,AIBL,DVC,AWC,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
821,Synapse 4,2,AWCL,AIZR,AIBL,AWC,AIZ,AIB,Taxis,Taxis,Taxis,1,3,3,SN6,IN3,IN2
822,Synapse 4,2,AIZR,AIAL,AIBL,AIZ,AIA,AIB,Taxis,Taxis,Taxis,3,2,3,IN3,IN3,IN2
823,Synapse 4,2,AIZR,ASEL,AIBL,AIZ,ASE,AIB,Taxis,Taxis,Taxis,3,1,3,IN3,SN6,IN2
824,Synapse 4,2,AIZR,ASKL,AIBL,AIZ,ASK,AIB,Taxis,Taxis,Taxis,3,1,3,IN3,SN6,IN2
825,Synapse 4,2,AIZR,AWCR,AIBL,AIZ,AWC,AIB,Taxis,Taxis,Taxis,3,1,3,IN3,SN6,IN2
826,Synapse 4,2,ASIL,AIZR,AIBL,ASI,AIZ,AIB,Taxis,Taxis,Taxis,1,3,3,SN6,IN3,IN2
827,Synapse 4,2,AIZR,ASGL,AIBL,AIZ,ASG,AIB,Taxis,Taxis,Taxis,3,1,3,IN3,SN6,IN2
828,Synapse 4,2,ADAR,AIZR,AIBL,ADA,AIZ,AIB,Avoidance,Taxis,Taxis,3,3,3,IN3,IN3,IN2
829,Synapse 4,2,DVC,AIZR,AIBL,DVC,AIZ,AIB,Lateral,Taxis,Taxis,3,3,3,IN2,IN3,IN2
830,Synapse 4,2,DVC,AIAL,AIBL,DVC,AIA,AIB,Lateral,Taxis,Taxis,3,2,3,IN2,IN3,IN2
831,Synapse 4,2,DVC,ASEL,AIBL,DVC,ASE,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
832,Synapse 4,2,DVC,ASKL,AIBL,DVC,ASK,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
833,Synapse 4,2,DVC,AWCR,AIBL,DVC,AWC,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
834,Synapse 4,2,DVC,ASIL,AIBL,DVC,ASI,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
835,Synapse 4,2,DVC,ASGL,AIBL,DVC,ASG,AIB,Lateral,Taxis,Taxis,3,1,3,IN2,SN6,IN2
836,Synapse 4,2,DVC,ADAR,AIBL,DVC,ADA,AIB,Lateral,Avoidance,Taxis,3,3,3,IN2,IN3,IN2
837,Synapse 4,2,ADAR,AIAL,AIBL,ADA,AIA,AIB,Avoidance,Taxis,Taxis,3,2,3,IN3,IN3,IN2
838,Synapse 4,2,ADAR,ASEL,AIBL,ADA,ASE,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
839,Synapse 4,2,ADAR,ASKL,AIBL,ADA,ASK,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
840,Synapse 4,2,ADAR,AWCR,AIBL,ADA,AWC,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
841,Synapse 4,2,ASIL,ADAR,AIBL,ASI,ADA,AIB,Taxis,Avoidance,Taxis,1,3,3,SN6,IN3,IN2
842,Synapse 4,2,ADAR,ASGL,AIBL,ADA,ASG,AIB,Avoidance,Taxis,Taxis,3,1,3,IN3,SN6,IN2
843,Synapse 4,2,PLNL,SAADL,AIBL,PLN,SAAD,AIB,,Lateral,Taxis,,3,3,,IN2,IN2
844,Synapse 4,2,RIVR,SAADL,AIBL,RIV,SAAD,AIB,Lateral,Lateral,Taxis,3,3,3,HMN,IN2,IN2
845,Synapse 4,2,AVKR,SAADL,AIBL,AVK,SAAD,AIB,Lateral,Lateral,Taxis,3,3,3,IN2,IN2,IN2
846,Synapse 4,2,RIBL,SMDVR,AIBL,RIB,SMDV,AIB,Taxis,Lateral,Taxis,3,3,3,IN2,SMN,IN2
847,Synapse 4,2,RICL,SMDVR,AIBL,RIC,SMDV,AIB,Sublateral,Lateral,Taxis,3,3,3,IN2,SMN,IN2
848,Synapse 4,2,URYVL,SMDVR,AIBL,URYV,SMDV,AIB,Anterior,Lateral,Taxis,1,3,3,SN1,SMN,IN2
849,Synapse 4,2,SAAVL,SMDDR,AIBL,SAAV,SMDD,AIB,Lateral,Lateral,Taxis,3,3,3,IN2,SMN,IN2
850,Synapse 4,2,RICL,SMDDR,AIBL,RIC,SMDD,AIB,Sublateral,Lateral,Taxis,3,3,3,IN2,SMN,IN2
851,Synapse 4,2,URYDL,SMDDR,AIBL,URYD,SMDD,AIB,Anterior,Lateral,Taxis,1,3,3,SN1,SMN,IN2
852,Synapse 4,2,ASGL,ASEL,AIBL,ASG,ASE,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
853,Synapse 4,2,ASGL,ASKL,AIBL,ASG,ASK,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
854,Synapse 4,2,AWCR,ASGL,AIBL,AWC,ASG,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
855,Synapse 4,2,ASIL,ASEL,AIBL,ASI,ASE,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
856,Synapse 4,2,ASIL,ASKL,AIBL,ASI,ASK,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
857,Synapse 4,2,AWCR,ASEL,AIBL,AWC,ASE,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
858,Synapse 4,2,AWCR,ASKL,AIBL,AWC,ASK,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
859,Synapse 4,2,ASKL,ASEL,AIBL,ASK,ASE,AIB,Taxis,Taxis,Taxis,1,1,3,SN6,SN6,IN2
860,Synapse 4,2,ASGL,ASKL,AIAL,ASG,ASK,AIA,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
861,Synapse 4,2,AWCR,ASGL,AIAL,AWC,ASG,AIA,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
862,Synapse 4,2,PVQL,ASGL,AIAL,PVQ,ASG,AIA,Taxis,Taxis,Taxis,2,1,2,IN3,SN6,IN3
863,Synapse 4,2,PVQL,AWCR,AIAL,PVQ,AWC,AIA,Taxis,Taxis,Taxis,2,1,2,IN3,SN6,IN3
864,Synapse 4,2,AIML,PVQL,AIAL,AIM,PVQ,AIA,Taxis,Taxis,Taxis,2,2,2,IN4,IN3,IN3
865,Synapse 4,2,ASIL,PVQL,AIAL,ASI,PVQ,AIA,Taxis,Taxis,Taxis,1,2,2,SN6,IN3,IN3
866,Synapse 4,2,ASIL,ASKL,AIAL,ASI,ASK,AIA,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
867,Synapse 4,2,ASIL,AIML,AIAL,ASI,AIM,AIA,Taxis,Taxis,Taxis,1,2,2,SN6,IN4,IN3
868,Synapse 4,2,AIML,AWCR,AIAL,AIM,AWC,AIA,Taxis,Taxis,Taxis,2,1,2,IN4,SN6,IN3
869,Synapse 4,2,AWCR,ASKL,AIAL,AWC,ASK,AIA,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
870,Synapse 4,2,AWAL,ASEL,AIYL,AWA,ASE,AIY,Taxis,Taxis,Taxis,1,1,2,SN6,SN6,IN3
871,Synapse 4,2,AWAL,AINR,AFDL,AWA,AIN,AFD,Taxis,Taxis,Taxis,1,2,1,SN6,IN1,SN6
872,Synapse 4,2,AINR,AIYL,RIBL,AIN,AIY,RIB,Taxis,Taxis,Taxis,2,2,3,IN1,IN3,IN2
873,Synapse 4,2,DVC,AIYL,RIBL,DVC,AIY,RIB,Lateral,Taxis,Taxis,3,2,3,IN2,IN3,IN2
874,Synapse 4,2,RIH,AIYL,RIBL,RIH,AIY,RIB,Anterior,Taxis,Taxis,3,2,3,IN4,IN3,IN2
875,Synapse 4,2,URYVL,AIYL,RIBL,URYV,AIY,RIB,Anterior,Taxis,Taxis,1,2,3,SN1,IN3,IN2
876,Synapse 4,2,DVC,AINR,RIBL,DVC,AIN,RIB,Lateral,Taxis,Taxis,3,2,3,IN2,IN1,IN2
877,Synapse 4,2,RIH,AINR,RIBL,RIH,AIN,RIB,Anterior,Taxis,Taxis,3,2,3,IN4,IN1,IN2
878,Synapse 4,2,URYVL,AINR,RIBL,URYV,AIN,RIB,Anterior,Taxis,Taxis,1,2,3,SN1,IN1,IN2
879,Synapse 4,2,ASIL,AIML,ASGL,ASI,AIM,ASG,Taxis,Taxis,Taxis,1,2,1,SN6,IN4,SN6
880,Synapse 4,2,RIBR,RICR,SMDVL,RIB,RIC,SMDV,Taxis,Sublateral,Lateral,3,3,3,IN2,IN2,SMN
881,Synapse 4,2,OLLR,RIBR,SMDVL,OLL,RIB,SMDV,Anterior,Taxis,Lateral,1,3,3,SN1,IN2,SMN
882,Synapse 4,2,RIS,RIBR,SMDVL,RIS,RIB,SMDV,Lateral,Taxis,Lateral,3,3,3,IN3,IN2,SMN
883,Synapse 4,2,URYVR,RIBR,SMDVL,URYV,RIB,SMDV,Anterior,Taxis,Lateral,1,3,3,SN1,IN2,SMN
884,Synapse 4,2,RIVL,RIBR,SMDVL,RIV,RIB,SMDV,Lateral,Taxis,Lateral,3,3,3,HMN,IN2,SMN
885,Synapse 4,2,URYDL,SAAVL,SMDDR,URYD,SAAV,SMDD,Anterior,Lateral,Lateral,1,3,3,SN1,IN2,SMN
886,Synapse 4,2,URYDL,RICL,SMDDR,URYD,RIC,SMDD,Anterior,Sublateral,Lateral,1,3,3,SN1,IN2,SMN
887,Synapse 4,2,SAAVL,RICL,SMDDR,SAAV,RIC,SMDD,Lateral,Sublateral,Lateral,3,3,3,IN2,IN2,SMN
888,Synapse 4,2,URYVL,RICL,SMDVR,URYV,RIC,SMDV,Anterior,Sublateral,Lateral,1,3,3,SN1,IN2,SMN
889,Synapse 4,2,RICL,RIBL,SMDVR,RIC,RIB,SMDV,Sublateral,Taxis,Lateral,3,3,3,IN2,IN2,SMN
890,Synapse 4,2,PLNL,AVKR,SAADL,PLN,AVK,SAAD,,Lateral,Lateral,,3,3,,IN2,IN2
891,Synapse 4,2,RIVR,AVKR,SAADL,RIV,AVK,SAAD,Lateral,Lateral,Lateral,3,3,3,HMN,IN2,IN2
892,Synapse 4,2,RIVR,PLNL,SAADL,RIV,PLN,SAAD,Lateral,,Lateral,3,,3,HMN,,IN2
893,Synapse 4,2,RIMR,SAADL,AVKL,RIM,SAAD,AVK,Lateral,Lateral,Lateral,3,3,3,IN1,IN2,IN2
894,Synapse 4,2,RIMR,RICL,SMDDL,RIM,RIC,SMDD,Lateral,Sublateral,Lateral,3,3,3,IN1,IN2,SMN
895,Synapse 4,2,RIMR,RICR,SMDDL,RIM,RIC,SMDD,Lateral,Sublateral,Lateral,3,3,3,IN1,IN2,SMN
896,Synapse 4,2,OLLR,RIMR,SMDDL,OLL,RIM,SMDD,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
897,Synapse 4,2,URYDR,RIMR,SMDDL,URYD,RIM,SMDD,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
898,Synapse 4,2,RIMR,SAAVR,SMDDL,RIM,SAAV,SMDD,Lateral,Lateral,Lateral,3,3,3,IN1,IN2,SMN
899,Synapse 4,2,RIMR,RMED,SMDDL,RIM,RMED,SMDD,Lateral,Anterior,Lateral,3,3,3,IN1,HMN,SMN
900,Synapse 4,2,ADAR,RIFR,AVJL,ADA,RIF,AVJ,Avoidance,Avoidance,Avoidance,3,3,2,IN3,IN3,IN2
901,Synapse 4,2,ADAR,BDUR,AVJL,ADA,BDU,AVJ,Avoidance,Avoidance,Avoidance,3,2,2,IN3,IN3,IN2
902,Synapse 4,2,DVC,PVT,RMFL,DVC,PVT,RMF,Lateral,Lateral,Lateral,3,2,3,IN2,IN2,IN1
903,Synapse 4,2,DVC,RIH,RIBL,DVC,RIH,RIB,Lateral,Anterior,Taxis,3,3,3,IN2,IN4,IN2
904,Synapse 4,2,URYVL,DVC,RIBL,URYV,DVC,RIB,Anterior,Lateral,Taxis,1,3,3,SN1,IN2,IN2
905,Synapse 4,2,AQR,AINL,BAGL,AQR,AIN,BAG,Avoidance,Taxis,Taxis,1,2,1,SN4,IN4,SN4
906,Synapse 4,2,BAGL,RIBL,AVER,BAG,RIB,AVE,Taxis,Taxis,Anterior,1,3,3,SN4,IN2,IN1
907,Synapse 4,2,CEPVL,BAGL,AVER,CEPV,BAG,AVE,Anterior,Taxis,Anterior,1,1,3,SN1,SN4,IN1
908,Synapse 4,2,BAGL,PVCL,AVER,BAG,PVC,AVE,Taxis,Avoidance,Anterior,1,3,3,SN4,IN1,IN1
909,Synapse 4,2,CEPDL,BAGL,AVER,CEPD,BAG,AVE,Sublateral,Taxis,Anterior,1,1,3,SN1,SN4,IN1
910,Synapse 4,2,URYDL,BAGL,AVER,URYD,BAG,AVE,Anterior,Taxis,Anterior,1,1,3,SN1,SN4,IN1
911,Synapse 4,2,URYVL,BAGL,AVER,URYV,BAG,AVE,Anterior,Taxis,Anterior,1,1,3,SN1,SN4,IN1
912,Synapse 4,2,URYVL,RIH,RIBL,URYV,RIH,RIB,Anterior,Anterior,Taxis,1,3,3,SN1,IN4,IN2
913,Synapse 4,2,CEPVL,RIBL,AVER,CEPV,RIB,AVE,Anterior,Taxis,Anterior,1,3,3,SN1,IN2,IN1
914,Synapse 4,2,PVCL,RIBL,AVER,PVC,RIB,AVE,Avoidance,Taxis,Anterior,3,3,3,IN1,IN2,IN1
915,Synapse 4,2,CEPDL,RIBL,AVER,CEPD,RIB,AVE,Sublateral,Taxis,Anterior,1,3,3,SN1,IN2,IN1
916,Synapse 4,2,URYDL,RIBL,AVER,URYD,RIB,AVE,Anterior,Taxis,Anterior,1,3,3,SN1,IN2,IN1
917,Synapse 4,2,URYVL,CEPVL,AVER,URYV,CEPV,AVE,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,IN1
918,Synapse 4,2,URYVL,PVCL,AVER,URYV,PVC,AVE,Anterior,Avoidance,Anterior,1,3,3,SN1,IN1,IN1
919,Synapse 4,2,CEPDL,URYVL,AVER,CEPD,URYV,AVE,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,IN1
920,Synapse 4,2,URYVL,URYDL,AVER,URYV,URYD,AVE,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,IN1
921,Synapse 4,2,CEPVL,URYDL,AVER,CEPV,URYD,AVE,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,IN1
922,Synapse 4,2,URYDL,PVCL,AVER,URYD,PVC,AVE,Anterior,Avoidance,Anterior,1,3,3,SN1,IN1,IN1
923,Synapse 4,2,CEPDL,CEPVL,AVER,CEPD,CEPV,AVE,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,IN1
924,Synapse 4,2,CEPDL,PVCL,AVER,CEPD,PVC,AVE,Sublateral,Avoidance,Anterior,1,3,3,SN1,IN1,IN1
925,Synapse 4,2,CEPVL,PVCL,AVER,CEPV,PVC,AVE,Anterior,Avoidance,Anterior,1,3,3,SN1,IN1,IN1
926,Synapse 4,2,CEPVL,RIH,OLQVL,CEPV,RIH,OLQV,Anterior,Anterior,Anterior,1,3,1,SN1,IN4,SN1
927,Synapse 4,2,CEPDL,URBL,ALML,CEPD,URB,ALM,Sublateral,Sublateral,Avoidance,1,3,1,SN1,IN4,SN3
928,Synapse 4,2,AQR,ALML,PVCL,AQR,ALM,PVC,Avoidance,Avoidance,Avoidance,1,1,3,SN4,SN3,IN1
929,Synapse 4,2,PVPL,ALML,PVCL,PVP,ALM,PVC,Avoidance,Avoidance,Avoidance,3,1,3,IN3,SN3,IN1
930,Synapse 4,2,ALML,AVM,PVCL,ALM,AVM,PVC,Avoidance,Avoidance,Avoidance,1,1,3,SN3,SN3,IN1
931,Synapse 4,2,CEPVL,RIS,ALML,CEPV,RIS,ALM,Anterior,Lateral,Avoidance,1,3,1,SN1,IN3,SN3
932,Synapse 4,2,CEPVL,IL2VL,URAVL,CEPV,IL2V,URAV,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,HMN
933,Synapse 4,2,CEPVL,URYVL,IL1VL,CEPV,URYV,IL1V,Anterior,Anterior,Anterior,1,1,1,SN1,SN1,SN1
934,Synapse 4,2,CEPVL,IL2VL,IL1VL,CEPV,IL2V,IL1V,Anterior,Anterior,Anterior,1,1,1,SN1,SN1,SN1
935,Synapse 4,2,CEPVL,URYDR,RMDDL,CEPV,URYD,RMDD,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,HMN
936,Synapse 4,2,CEPVL,RIAR,RMDDL,CEPV,RIA,RMDD,Anterior,Anterior,Anterior,1,3,3,SN1,IN2,HMN
937,Synapse 4,2,CEPVL,IL1L,RMDDL,CEPV,IL1,RMDD,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,HMN
938,Synapse 4,2,CEPVL,URYVL,RMDDL,CEPV,URYV,RMDD,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,HMN
939,Synapse 4,2,CEPVL,OLQDR,RMDDL,CEPV,OLQD,RMDD,Anterior,Anterior,Anterior,1,1,3,SN1,SN1,HMN
940,Synapse 4,2,CEPDL,CEPVL,RICR,CEPD,CEPV,RIC,Sublateral,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
941,Synapse 4,2,CEPVL,OLQDL,RICR,CEPV,OLQD,RIC,Anterior,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
942,Synapse 4,2,CEPVL,URBL,RICR,CEPV,URB,RIC,Anterior,Sublateral,Sublateral,1,3,3,SN1,IN4,IN2
943,Synapse 4,2,CEPDL,CEPVL,RICL,CEPD,CEPV,RIC,Sublateral,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
944,Synapse 4,2,CEPVL,URXL,RICL,CEPV,URX,RIC,Anterior,Unclassified,Sublateral,1,1,3,SN1,SN4,IN2
945,Synapse 4,2,CEPVL,CEPDR,RICL,CEPV,CEPD,RIC,Anterior,Sublateral,Sublateral,1,1,3,SN1,SN1,IN2
946,Synapse 4,2,CEPVL,CEPVR,RICL,CEPV,CEPV,RIC,Anterior,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
947,Synapse 4,2,CEPVL,OLQDR,RICL,CEPV,OLQD,RIC,Anterior,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
948,Synapse 4,2,CEPVL,URBR,RICL,CEPV,URB,RIC,Anterior,Sublateral,Sublateral,1,3,3,SN1,IN2,IN2
949,Synapse 4,2,AQR,AVM,PVCL,AQR,AVM,PVC,Avoidance,Avoidance,Avoidance,1,1,3,SN4,SN3,IN1
950,Synapse 4,2,PVPL,AVM,PVCL,PVP,AVM,PVC,Avoidance,Avoidance,Avoidance,3,1,3,IN3,SN3,IN1
951,Synapse 4,2,CEPDL,IL2DL,IL1DL,CEPD,IL2D,IL1D,Sublateral,Anterior,Anterior,1,1,1,SN1,SN1,SN1
952,Synapse 4,2,CEPDL,IL2DL,URADL,CEPD,IL2D,URAD,Sublateral,Anterior,Anterior,1,1,2,SN1,SN1,HMN
953,Synapse 4,2,CEPDL,RMGL,RMDVL,CEPD,RMG,RMDV,Sublateral,Sublateral,Anterior,1,3,3,SN1,IN1,HMN
954,Synapse 4,2,CEPDL,URYVR,RMDVL,CEPD,URYV,RMDV,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,HMN
955,Synapse 4,2,CEPDL,RIAR,RMDVL,CEPD,RIA,RMDV,Sublateral,Anterior,Anterior,1,3,3,SN1,IN2,HMN
956,Synapse 4,2,CEPDL,IL1L,RMDVL,CEPD,IL1,RMDV,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,HMN
957,Synapse 4,2,CEPDL,RMDR,RMDVL,CEPD,RMD,RMDV,Sublateral,Unclassified,Anterior,1,3,3,SN1,HMN,HMN
958,Synapse 4,2,CEPDL,RIVL,RMDVL,CEPD,RIV,RMDV,Sublateral,Lateral,Anterior,1,3,3,SN1,HMN,HMN
959,Synapse 4,2,CEPDL,IL1R,RMDVL,CEPD,IL1,RMDV,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,HMN
960,Synapse 4,2,CEPDL,OLQVR,RMDVL,CEPD,OLQV,RMDV,Sublateral,Anterior,Anterior,1,1,3,SN1,SN1,HMN
961,Synapse 4,2,CEPDL,IL2L,OLQDL,CEPD,IL2,OLQD,Sublateral,Anterior,Anterior,1,1,1,SN1,SN1,SN1
962,Synapse 4,2,CEPDL,URXL,RICL,CEPD,URX,RIC,Sublateral,Unclassified,Sublateral,1,1,3,SN1,SN4,IN2
963,Synapse 4,2,CEPDL,CEPDR,RICL,CEPD,CEPD,RIC,Sublateral,Sublateral,Sublateral,1,1,3,SN1,SN1,IN2
964,Synapse 4,2,CEPDL,CEPVR,RICL,CEPD,CEPV,RIC,Sublateral,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
965,Synapse 4,2,CEPDL,OLQVL,RICL,CEPD,OLQV,RIC,Sublateral,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
966,Synapse 4,2,CEPDL,OLQDR,RICL,CEPD,OLQD,RIC,Sublateral,Anterior,Sublateral,1,1,3,SN1,SN1,IN2
967,Synapse 4,2,CEPDL,URBR,RICL,CEPD,URB,RIC,Sublateral,Sublateral,Sublateral,1,3,3,SN1,IN2,IN2
968,Synapse 4,2,URXL,CEPDR,RICL,URX,CEPD,RIC,Unclassified,Sublateral,Sublateral,1,1,3,SN4,SN1,IN2
969,Synapse 4,2,URXL,CEPVR,RICL,URX,CEPV,RIC,Unclassified,Anterior,Sublateral,1,1,3,SN4,SN1,IN2
970,Synapse 4,2,URXL,OLQVL,RICL,URX,OLQV,RIC,Unclassified,Anterior,Sublateral,1,1,3,SN4,SN1,IN2
971,Synapse 4,2,URXL,OLQDR,RICL,URX,OLQD,RIC,Unclassified,Anterior,Sublateral,1,1,3,SN4,SN1,IN2
972,Synapse 4,2,URXL,URBR,RICL,URX,URB,RIC,Unclassified,Sublateral,Sublateral,1,3,3,SN4,IN2,IN2
973,Synapse 4,2,CEPDR,URBR,RICL,CEPD,URB,RIC,Sublateral,Sublateral,Sublateral,1,3,3,SN1,IN2,IN2
